"Correct","Location","originalID","Data","correctID"
"Bolivia","Bolivia (Plurinational State of",18,"contacts",26
"Bolivia","Bolivia (Plurinational State of)",21,"demography",26
"Bolivia","Bolivia",23,"OAG",26
"Bolivia","Bolivia",23,"WTO",26
"Bolivia","Bolivia",26,"latitudes",26
"Bosnia_Herzegovina","Bosnia and Herzegovina",17,"Huang2013",27
"Bosnia_Herzegovina","Bosnia and Herzegovina",19,"contacts",27
"Bosnia_Herzegovina","Bosnia and Herzegovina",22,"demography",27
"Bosnia_Herzegovina","Bosnia_Gerzegovina",24,"OAG",27
"Bosnia_Herzegovina","Bosnia_Herzegovina",24,"WTO",27
"Bosnia_Herzegovina","Bosnia and Herzegovina",27,"latitudes",27
"Botswana","Botswana",18,"Huang2013",28
"Botswana","Botswana",20,"contacts",28
"Botswana","Botswana",23,"demography",28
"Botswana","Botswana",25,"OAG",28
"Botswana","Botswana",25,"WTO",28
"Botswana","Botswana",28,"latitudes",28
"Bouvet_Island","Bouvet Island",29,"latitudes",29
"Brazil","Brazil",19,"Huang2013",30
"Brazil","Brazil",21,"contacts",30
"Brazil","Brazil",24,"demography",30
"Brazil","Brazil",26,"OAG",30
"Brazil","Brazil",26,"WTO",30
"Brazil","Brazil",30,"latitudes",30
"British_Indian_Ocean_Territory","British Indian Ocean Territory",31,"latitudes",31
"Brunei","Brunei Darussalam",22,"contacts",32
"Brunei","Brunei Darussalam",25,"demography",32
"Brunei","Brunei",NA,"database",32
"Brunei","Brunei",NA,"database",32
"Brunei","Brunei",33,"latitudes",32
"Bulgaria","Bulgaria",20,"Huang2013",33
"Bulgaria","Bulgaria",23,"contacts",33
"Bulgaria","Bulgaria",26,"demography",33
"Bulgaria","Bulgaria",27,"OAG",33
"Bulgaria","Bulgaria",27,"WTO",33
"Bulgaria","Bulgaria",34,"latitudes",33
"Burkina_Faso","Burkina Faso",21,"Huang2013",34
"Burkina_Faso","Burkina Faso",24,"contacts",34
"Burkina_Faso","Burkina Faso",27,"demography",34
"Burkina_Faso","Burkina_Faso",28,"OAG",34
"Burkina_Faso","Burkina_Faso",28,"WTO",34
"Burkina_Faso","Burkina Faso",35,"latitudes",34
"Burma","Burma",22,"Huang2013",35
"Burma","Burma",29,"OAG",35
"Burma","Burma",29,"WTO",35
"Burundi","Burundi",23,"Huang2013",36
"Burundi","Burundi",28,"demography",36
"Burundi","Burundi",30,"OAG",36
"Burundi","Burundi",30,"WTO",36
"Burundi","Burundi",36,"latitudes",36
"Cambodia","Cambodia",24,"Huang2013",37
"Cambodia","Cambodia",26,"contacts",37
"Cambodia","Cambodia",30,"demography",37
"Cambodia","Cambodia",31,"OAG",37
"Cambodia","Cambodia",31,"WTO",37
"Cambodia","Cambodia",37,"latitudes",37
"Cameroon","Cameroon",25,"Huang2013",38
"Cameroon","Cameroon",27,"contacts",38
"Cameroon","Cameroon",31,"demography",38
"Cameroon","Cameroon",32,"OAG",38
"Cameroon","Cameroon",32,"WTO",38
"Cameroon","Cameroon",38,"latitudes",38
"Canada","Canada",26,"Huang2013",39
"Canada","Canada",28,"contacts",39
"Canada","Canada",32,"demography",39
"Canada","Canada",33,"OAG",39
"Canada","Canada",33,"WTO",39
"Canada","Canada",39,"latitudes",39
"Cape_Verde","Cabo Verde",25,"contacts",40
"Cape_Verde","Cape Verde",27,"Huang2013",40
"Cape_Verde","Cabo Verde",29,"demography",40
"Cape_Verde","Cape_Verde",34,"OAG",40
"Cape_Verde","Cape_Verde",34,"WTO",40
"Cape_Verde","Cape Verde",40,"latitudes",40
"Cayman_Islands","Cayman_Islands",35,"OAG",41
"Cayman_Islands","Cayman_Islands",35,"WTO",41
"Cayman_Islands","Cayman Islands",41,"latitudes",41
"Central_African_Republic","Central African Republic",28,"Huang2013",42
"Central_African_Republic","Central African Republic",33,"demography",42
"Central_African_Republic","Centr_African_Rep",36,"OAG",42
"Central_African_Republic","Centr_African_Rep",36,"WTO",42
"Central_African_Republic","Central_African_Republic",NA,"database",42
"Central_African_Republic","Central_African_Republic",NA,"database",42
"Central_African_Republic","Central African Republic",42,"latitudes",42
"Chad","Chad",29,"Huang2013",43
"Chad","Chad",34,"demography",43
"Chad","Chad",37,"OAG",43
"Chad","Chad",37,"WTO",43
"Chad","Chad",43,"latitudes",43
"Channel_Islands","Channel Islands",35,"demography",44
"Channel_Islands","Channel_Islands",NA,"database",44
"Channel_Islands","Channel_Islands",NA,"database",44
"Chile","Chile",29,"contacts",45
"Chile","Chile",30,"Huang2013",45
"Chile","Chile",36,"demography",45
"Chile","Chile",38,"OAG",45
"Chile","Chile",38,"WTO",45
"Chile","Chile",44,"latitudes",45
"China","China",30,"contacts",46
"China","China",31,"Huang2013",46
"China","China",37,"demography",46
"China","China",39,"OAG",46
"China","China",39,"WTO",46
"China","China",45,"latitudes",46
"Christmas_Island","Christmas Island",46,"latitudes",47
"Cocos_Islands","Cocos [Keeling] Islands",47,"latitudes",48
"Colombia","Colombia",31,"contacts",49
"Colombia","Colombia",32,"Huang2013",49
"Colombia","Colombia",40,"OAG",49
"Colombia","Colombia",40,"WTO",49
"Colombia","Colombia",41,"demography",49
"Colombia","Colombia",48,"latitudes",49
"Comoros","Comoros",33,"Huang2013",50
"Comoros","Comoros",41,"OAG",50
"Comoros","Comoros",41,"WTO",50
"Comoros","Comoros",42,"demography",50
"Comoros","Comoros",49,"latitudes",50
"Cook_Islands","Cook Islands",36,"Huang2013",51
"Cook_Islands","Cook_Islands",NA,"database",51
"Cook_Islands","Cook_Islands",NA,"database",51
"Cook_Islands","Cook Islands",52,"latitudes",51
"Costa_Rica","Costa Rica",33,"contacts",52
"Costa_Rica","Costa Rica",37,"Huang2013",52
"Costa_Rica","Costa Rica",44,"demography",52
"Costa_Rica","Costa_Rica",44,"OAG",52
"Costa_Rica","Costa_Rica",44,"WTO",52
"Costa_Rica","Costa Rica",53,"latitudes",52
"Cote_dIvore","Cote d'Ivoire",38,"Huang2013",53
"Cote_dIvore","Côte d'Ivoire",45,"demography",53
"Cote_dIvore","Cote_dIvore",45,"OAG",53
"Cote_dIvore","Cote_dIvore",45,"WTO",53
"Cote_dIvore","Côte d'Ivoire",54,"latitudes",53
"Croatia","Croatia",34,"contacts",54
"Croatia","Croatia",39,"Huang2013",54
"Croatia","Croatia",46,"demography",54
"Croatia","Croatia",46,"OAG",54
"Croatia","Croatia",46,"WTO",54
"Croatia","Croatia",55,"latitudes",54
"Cuba","Cuba",40,"Huang2013",55
"Cuba","Cuba",47,"demography",55
"Cuba","Cuba",47,"OAG",55
"Cuba","Cuba",47,"WTO",55
"Cuba","Cuba",56,"latitudes",55
"Curacao","Curaçao",48,"demography",56
"Curacao","Curacao",NA,"database",56
"Curacao","Curacao",NA,"database",56
"Cyprus","Cyprus",35,"contacts",57
"Cyprus","Cyprus",48,"OAG",57
"Cyprus","Cyprus",48,"WTO",57
"Cyprus","Cyprus",49,"demography",57
"Cyprus","Cyprus",57,"latitudes",57
"Czech_Republic","Czech Republic",36,"contacts",58
"Czech_Republic","Czech Republic",41,"Huang2013",58
"Czech_Republic","Czech_Republic",49,"OAG",58
"Czech_Republic","Czech_Republic",49,"WTO",58
"Czech_Republic","Czechia",50,"demography",58
"Czech_Republic","Czech Republic",58,"latitudes",58
"Democratic_Peoples_Republic_of_Korea","Dem. People's Republic of Korea",52,"demography",59
"Democratic_Peoples_Republic_of_Korea","North Korea",113,"Huang2013",59
"Democratic_Peoples_Republic_of_Korea","NKorea",144,"OAG",59
"Democratic_Peoples_Republic_of_Korea","NKorea",144,"WTO",59
"Democratic_Peoples_Republic_of_Korea","Democratic_Peoples_Republic_of_Korea",NA,"database",59
"Democratic_Peoples_Republic_of_Korea","Democratic_Peoples_Republic_of_Korea",NA,"database",59
"Democratic_Peoples_Republic_of_Korea","North Korea",163,"latitudes",59
"Democratic_Republic_ of_the_ Congo","Congo (Kinshasa)",35,"Huang2013",60
"Democratic_Republic_ of_the_ Congo","Congo_Dem_Rep",43,"WTO",60
"Democratic_Republic_ of_the_ Congo","Democratic Republic of the Congo",51,"demography",60
"Democratic_Republic_ of_the_ Congo","Democratic_Republic_ of_the_ Congo",NA,"database",60
"Democratic_Republic_ of_the_ Congo","Democratic_Republic_ of_the_ Congo",NA,"database",60
"Democratic_Republic_ of_the_ Congo","Congo [DRC]",50,"latitudes",60
"Denmark","Denmark",37,"contacts",61
"Denmark","Denmark",42,"Huang2013",61
"Denmark","Denmark",50,"OAG",61
"Denmark","Denmark",50,"WTO",61
"Denmark","Denmark",53,"demography",61
"Denmark","Denmark",59,"latitudes",61
"Djibouti","Djibouti",43,"Huang2013",62
"Djibouti","Djibouti",51,"OAG",62
"Djibouti","Djibouti",51,"WTO",62
"Djibouti","Djibouti",54,"demography",62
"Djibouti","Djibouti",60,"latitudes",62
"Dominica","Dominica",52,"OAG",63
"Dominica","Dominica",52,"WTO",63
"Dominica","Dominica",61,"latitudes",63
"Dominican_Republic","Dominican Republic",38,"contacts",64
"Dominican_Republic","Dominican Republic",44,"Huang2013",64
"Dominican_Republic","Dominican_Republic",53,"OAG",64
"Dominican_Republic","Dominican_Republic",53,"WTO",64
"Dominican_Republic","Dominican Republic",55,"demography",64
"Dominican_Republic","Dominican Republic",62,"latitudes",64
"East_Timor","East Timor",45,"Huang2013",65
"East_Timor","East_Timor",NA,"database",65
"East_Timor","East_Timor",NA,"database",65
"Ecuador","Ecuador",39,"contacts",66
"Ecuador","Ecuador",46,"Huang2013",66
"Ecuador","Ecuador",54,"OAG",66
"Ecuador","Ecuador",54,"WTO",66
"Ecuador","Ecuador",56,"demography",66
"Ecuador","Ecuador",63,"latitudes",66
"Egypt","Egypt",40,"contacts",67
"Egypt","Egypt",47,"Huang2013",67
"Egypt","Egypt",55,"OAG",67
"Egypt","Egypt",55,"WTO",67
"Egypt","Egypt",57,"demography",67
"Egypt","Egypt",64,"latitudes",67
"El_Salvador","El Salvador",41,"contacts",68
"El_Salvador","El_Salvador",56,"OAG",68
"El_Salvador","El_Salvador",56,"WTO",68
"El_Salvador","El Salvador",58,"demography",68
"El_Salvador","El Salvador",65,"latitudes",68
"Equatorial_Guinea","Equatorial Guinea",48,"Huang2013",69
"Equatorial_Guinea","Equatorial_Guinea",57,"OAG",69
"Equatorial_Guinea","Equatorial_Guinea",57,"WTO",69
"Equatorial_Guinea","Equatorial Guinea",59,"demography",69
"Equatorial_Guinea","Equatorial Guinea",66,"latitudes",69
"Eritrea","Eritrea",49,"Huang2013",70
"Eritrea","Eritrea",58,"OAG",70
"Eritrea","Eritrea",58,"WTO",70
"Eritrea","Eritrea",60,"demography",70
"Eritrea","Eritrea",67,"latitudes",70
"Estonia","Estonia",42,"contacts",71
"Estonia","Estonia",50,"Huang2013",71
"Estonia","Estonia",59,"OAG",71
"Estonia","Estonia",59,"WTO",71
"Estonia","Estonia",61,"demography",71
"Estonia","Estonia",68,"latitudes",71
"Ethiopia","Ethiopia",43,"contacts",72
"Ethiopia","Ethiopia",51,"Huang2013",72
"Ethiopia","Ethiopia",60,"OAG",72
"Ethiopia","Ethiopia",60,"WTO",72
"Ethiopia","Ethiopia",62,"demography",72
"Ethiopia","Ethiopia",69,"latitudes",72
"Falkland_Islands","Falkland Islands [Islas Malvinas]",70,"latitudes",73
"Faroe_Islands","Faroe_Islands",61,"OAG",74
"Faroe_Islands","Faroe_Islands",61,"WTO",74
"Faroe_Islands","Faroe Islands",71,"latitudes",74
"Fiji","Fiji",44,"contacts",75
"Fiji","Fiji",52,"Huang2013",75
"Fiji","Fiji",62,"OAG",75
"Fiji","Fiji",62,"WTO",75
"Fiji","Fiji",63,"demography",75
"Fiji","Fiji",72,"latitudes",75
"Finland","Finland",45,"contacts",76
"Finland","Finland",53,"Huang2013",76
"Finland","Finland",63,"OAG",76
"Finland","Finland",63,"WTO",76
"Finland","Finland",64,"demography",76
"Finland","Finland",73,"latitudes",76
"France","France",46,"contacts",77
"France","France",54,"Huang2013",77
"France","France",64,"OAG",77
"France","France",64,"WTO",77
"France","France",65,"demography",77
"France","France",74,"latitudes",77
"French_Guiana","French_Guiana",65,"OAG",78
"French_Guiana","French_Guiana",65,"WTO",78
"French_Guiana","French Guiana",66,"demography",78
"French_Guiana","French Guiana",75,"latitudes",78
"French_Polynesia","French Polynesia",55,"Huang2013",79
"French_Polynesia","French_Polynesia",66,"OAG",79
"French_Polynesia","French_Polynesia",66,"WTO",79
"French_Polynesia","French Polynesia",67,"demography",79
"French_Polynesia","French Polynesia",76,"latitudes",79
"French_Southern_Territories","French Southern Territories",77,"latitudes",80
"Gabon","Gabon",56,"Huang2013",81
"Gabon","Gabon",67,"OAG",81
"Gabon","Gabon",67,"WTO",81
"Gabon","Gabon",68,"demography",81
"Gabon","Gabon",78,"latitudes",81
"Gambia","Gambia",68,"OAG",82
"Gambia","Gambia",68,"WTO",82
"Gambia","Gambia",69,"demography",82
"Gambia","Gambia",79,"latitudes",82
"Gaza_Strip","Gaza Strip",80,"latitudes",83
"Georgia","Georgia",47,"contacts",84
"Georgia","Georgia",57,"Huang2013",84
"Georgia","Georgia",69,"OAG",84
"Georgia","Georgia",69,"WTO",84
"Georgia","Georgia",70,"demography",84
"Georgia","Georgia",81,"latitudes",84
"Germany","Germany",48,"contacts",85
"Germany","Germany",58,"Huang2013",85
"Germany","Germany",70,"OAG",85
"Germany","Germany",70,"WTO",85
"Germany","Germany",71,"demography",85
"Germany","Germany",82,"latitudes",85
"Ghana","Ghana",49,"contacts",86
"Ghana","Ghana",59,"Huang2013",86
"Ghana","Ghana",71,"OAG",86
"Ghana","Ghana",71,"WTO",86
"Ghana","Ghana",72,"demography",86
"Ghana","Ghana",83,"latitudes",86
"Gibraltar","Gibraltar",72,"OAG",87
"Gibraltar","Gibraltar",72,"WTO",87
"Gibraltar","Gibraltar",84,"latitudes",87
"Greece","Greece",50,"contacts",88
"Greece","Greece",60,"Huang2013",88
"Greece","Greece",73,"demography",88
"Greece","Greece",73,"OAG",88
"Greece","Greece",73,"WTO",88
"Greece","Greece",85,"latitudes",88
"Greenland","Greenland",74,"OAG",89
"Greenland","Greenland",74,"WTO",89
"Greenland","Greenland",86,"latitudes",89
"Grenada","Grenada",74,"demography",90
"Grenada","Grenada",75,"OAG",90
"Grenada","Grenada",75,"WTO",90
"Grenada","Grenada",87,"latitudes",90
"Guadeloupe","Guadeloupe",61,"Huang2013",91
"Guadeloupe","Guadeloupe",75,"demography",91
"Guadeloupe","Guadeloupe",76,"OAG",91
"Guadeloupe","Guadeloupe",76,"WTO",91
"Guadeloupe","Guadeloupe",88,"latitudes",91
"Guam","Guam",62,"Huang2013",92
"Guam","Guam",76,"demography",92
"Guam","Guam",77,"OAG",92
"Guam","Guam",77,"WTO",92
"Guam","Guam",89,"latitudes",92
"Guatemala","Guatemala",51,"contacts",93
"Guatemala","Guatemala",63,"Huang2013",93
"Guatemala","Guatemala",77,"demography",93
"Guatemala","Guatemala",78,"OAG",93
"Guatemala","Guatemala",78,"WTO",93
"Guatemala","Guatemala",90,"latitudes",93
"Guernsey","Guernsey",79,"OAG",94
"Guernsey","Guernsey",79,"WTO",94
"Guernsey","Guernsey",91,"latitudes",94
"Guinea","Guinea",52,"contacts",95
"Guinea","Guinea",64,"Huang2013",95
"Guinea","Guinea",78,"demography",95
"Guinea","Guinea",80,"OAG",95
"Guinea","Guinea",80,"WTO",95
"Guinea","Guinea",92,"latitudes",95
"Guinea-Bissau","Guinea-Bissau",79,"demography",96
"Guinea-Bissau","Guinea-Bissau",81,"OAG",96
"Guinea-Bissau","Guinea-Bissau",81,"WTO",96
"Guinea-Bissau","Guinea-Bissau",93,"latitudes",96
"Guyana","Guyana",53,"contacts",97
"Guyana","Guyana",65,"Huang2013",97
"Guyana","Guyana",80,"demography",97
"Guyana","Guyana",82,"OAG",97
"Guyana","Guyana",82,"WTO",97
"Guyana","Guyana",94,"latitudes",97
"Haiti","Haiti",54,"contacts",98
"Haiti","Haiti",66,"Huang2013",98
"Haiti","Haiti",81,"demography",98
"Haiti","Haiti",83,"OAG",98
"Haiti","Haiti",83,"WTO",98
"Haiti","Haiti",95,"latitudes",98
"Heard_and_McDonald_Islands","Heard Island and McDonald Islands",96,"latitudes",99
"Honduras","Honduras",55,"contacts",100
"Honduras","Honduras",67,"Huang2013",100
"Honduras","Honduras",82,"demography",100
"Honduras","Honduras",84,"OAG",100
"Honduras","Honduras",84,"WTO",100
"Honduras","Honduras",97,"latitudes",100
"Hong_Kong","China, Hong Kong SAR",38,"demography",101
"Hong_Kong","Hong Kong SAR, China",56,"contacts",101
"Hong_Kong","Hong Kong",68,"Huang2013",101
"Hong_Kong","Hong_Kong",85,"OAG",101
"Hong_Kong","Hong_Kong",85,"WTO",101
"Hong_Kong","Hong Kong",98,"latitudes",101
"Hungary","Hungary",57,"contacts",102
"Hungary","Hungary",69,"Huang2013",102
"Hungary","Hungary",83,"demography",102
"Hungary","Hungary",86,"OAG",102
"Hungary","Hungary",86,"WTO",102
"Hungary","Hungary",99,"latitudes",102
"Iceland","Iceland",58,"contacts",103
"Iceland","Iceland",70,"Huang2013",103
"Iceland","Iceland",84,"demography",103
"Iceland","Iceland",87,"OAG",103
"Iceland","Iceland",87,"WTO",103
"Iceland","Iceland",100,"latitudes",103
"India","India",59,"contacts",104
"India","India",71,"Huang2013",104
"India","India",85,"demography",104
"India","India",88,"OAG",104
"India","India",88,"WTO",104
"India","India",101,"latitudes",104
"Indonesia","Indonesia",60,"contacts",105
"Indonesia","Indonesia",72,"Huang2013",105
"Indonesia","Indonesia",86,"demography",105
"Indonesia","Indonesia",89,"OAG",105
"Indonesia","Indonesia",89,"WTO",105
"Indonesia","Indonesia",102,"latitudes",105
"Iran","Iran (Islamic Republic of)",61,"contacts",106
"Iran","Iran",73,"Huang2013",106
"Iran","Iran (Islamic Republic of)",87,"demography",106
"Iran","Iran",90,"OAG",106
"Iran","Iran",90,"WTO",106
"Iran","Iran",103,"latitudes",106
"Iraq","Iraq",62,"contacts",107
"Iraq","Iraq",74,"Huang2013",107
"Iraq","Iraq",88,"demography",107
"Iraq","Iraq",91,"OAG",107
"Iraq","Iraq",91,"WTO",107
"Iraq","Iraq",104,"latitudes",107
"Ireland","Ireland",63,"contacts",108
"Ireland","Ireland",75,"Huang2013",108
"Ireland","Ireland",89,"demography",108
"Ireland","Ireland",92,"OAG",108
"Ireland","Ireland",92,"WTO",108
"Ireland","Ireland",105,"latitudes",108
"Isle_of_Man","Isle_of_Man",93,"OAG",109
"Isle_of_Man","Isle_of_Man",93,"WTO",109
"Isle_of_Man","Isle of Man",106,"latitudes",109
"Israel","Israel",64,"contacts",110
"Israel","Israel",76,"Huang2013",110
"Israel","Israel",90,"demography",110
"Israel","Israel",94,"OAG",110
"Israel","Israel",94,"WTO",110
"Israel","Israel",107,"latitudes",110
"Italy","Italy",65,"contacts",111
"Italy","Italy",77,"Huang2013",111
"Italy","Italy",91,"demography",111
"Italy","Italy",95,"OAG",111
"Italy","Italy",95,"WTO",111
"Italy","Italy",108,"latitudes",111
"Jamaica","Jamaica",66,"contacts",112
"Jamaica","Jamaica",78,"Huang2013",112
"Jamaica","Jamaica",92,"demography",112
"Jamaica","Jamaica",96,"OAG",112
"Jamaica","Jamaica",96,"WTO",112
"Jamaica","Jamaica",109,"latitudes",112
"Japan","Japan",67,"contacts",113
"Japan","Japan",79,"Huang2013",113
"Japan","Japan",93,"demography",113
"Japan","Japan",97,"OAG",113
"Japan","Japan",97,"WTO",113
"Japan","Japan",110,"latitudes",113
"Jersey","Jersey",98,"OAG",114
"Jersey","Jersey",98,"WTO",114
"Jersey","Jersey",111,"latitudes",114
"Jordan","Jordan",68,"contacts",115
"Jordan","Jordan",80,"Huang2013",115
"Jordan","Jordan",94,"demography",115
"Jordan","Jordan",99,"OAG",115
"Jordan","Jordan",99,"WTO",115
"Jordan","Jordan",112,"latitudes",115
"Kazakhstan","Kazakhstan",69,"contacts",116
"Kazakhstan","Kazakhstan",81,"Huang2013",116
"Kazakhstan","Kazakhstan",95,"demography",116
"Kazakhstan","Kazakhstan",100,"OAG",116
"Kazakhstan","Kazakhstan",100,"WTO",116
"Kazakhstan","Kazakhstan",113,"latitudes",116
"Kenya","Kenya",70,"contacts",117
"Kenya","Kenya",82,"Huang2013",117
"Kenya","Kenya",96,"demography",117
"Kenya","Kenya",101,"OAG",117
"Kenya","Kenya",101,"WTO",117
"Kenya","Kenya",114,"latitudes",117
"Kiribati","Kiribati",71,"contacts",118
"Kiribati","Kiribati",97,"demography",118
"Kiribati","Kiribati",102,"OAG",118
"Kiribati","Kiribati",102,"WTO",118
"Kiribati","Kiribati",115,"latitudes",118
"Kosovo","Kosovo",116,"latitudes",119
"Kuwait","Kuwait",72,"contacts",120
"Kuwait","Kuwait",98,"demography",120
"Kuwait","Kuwait",103,"OAG",120
"Kuwait","Kuwait",103,"WTO",120
"Kuwait","Kuwait",117,"latitudes",120
"Kyrgyzstan","Kyrgyzstan",73,"contacts",121
"Kyrgyzstan","Kyrgyzstan",83,"Huang2013",121
"Kyrgyzstan","Kyrgyzstan",99,"demography",121
"Kyrgyzstan","Kyrgyzstan",104,"OAG",121
"Kyrgyzstan","Kyrgyzstan",104,"WTO",121
"Kyrgyzstan","Kyrgyzstan",118,"latitudes",121
"Laos","Lao People's Democratic Republi",74,"contacts",122
"Laos","Laos",84,"Huang2013",122
"Laos","Lao People's Democratic Republic",100,"demography",122
"Laos","Laos",105,"OAG",122
"Laos","Laos",105,"WTO",122
"Laos","Laos",119,"latitudes",122
"Latvia","Latvia",75,"contacts",123
"Latvia","Latvia",85,"Huang2013",123
"Latvia","Latvia",101,"demography",123
"Latvia","Latvia",106,"OAG",123
"Latvia","Latvia",106,"WTO",123
"Latvia","Latvia",120,"latitudes",123
"Lebanon","Lebanon",76,"contacts",124
"Lebanon","Lebanon",86,"Huang2013",124
"Lebanon","Lebanon",102,"demography",124
"Lebanon","Lebanon",107,"OAG",124
"Lebanon","Lebanon",107,"WTO",124
"Lebanon","Lebanon",121,"latitudes",124
"Lesotho","Lesotho",77,"contacts",125
"Lesotho","Lesotho",87,"Huang2013",125
"Lesotho","Lesotho",103,"demography",125
"Lesotho","Lesotho",108,"OAG",125
"Lesotho","Lesotho",108,"WTO",125
"Lesotho","Lesotho",122,"latitudes",125
"Liberia","Liberia",78,"contacts",126
"Liberia","Liberia",88,"Huang2013",126
"Liberia","Liberia",104,"demography",126
"Liberia","Liberia",109,"OAG",126
"Liberia","Liberia",109,"WTO",126
"Liberia","Liberia",123,"latitudes",126
"Libya","Libya",89,"Huang2013",127
"Libya","Libya",105,"demography",127
"Libya","Libya",110,"OAG",127
